"","ObjectID","GlobalID","Form_Version","Team.Name","Region","Incident_UUID","Incident.Number","Type.of.Incident","Incident.Start.Date.and.Time","Number.of.Operational.Periods","Primary.Response.Area","Number.of.Volunteers.Supporting.the.Incident","Total.Volunteer.Hours.on.the.Incident","Total.Volunteer.Mileage","Aircraft.Used","Area.Type","Land.Ownership","Total.Number.of.Subjects","Subject.Category","Subject.1..Age","Subject.1..Gender","Subject.1..Level.of.Fitness","Subject.1..Level.of.Experience","Number.of.Subjects.Found.Alive.and.Well","x","y"
"4564",6227,"5ffee4b6-099b-4a07-99c6-aa9682e8ab6f","2.1.0-MRA","Park_County_SAR","Rocky Mountain Region","1e33e91f-a826-4636-9f63-3c6d1c14b010","Paradise Cove","SWIFTWATER_RESCUE","8/15/2019 6:30:00 PM",1,"YES",2,4,85,"AIRCRAFT-HELICOPTER","RURAL","NATIONAL_FOREST",1,"SWIMMING",54,"FEMALE","FAIR","FAIR",0,-105.34,38.77
"4617",2623,"3f5e9888-5f18-46ef-8cd4-c240949869d9","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","7ab4a2ce-11b0-4186-952a-57f6cf8415f2","Larimer Rd Walkaway","SEARCH","7/10/2021 6:23:00 AM",1,"YES",5,12,240,"","RURAL","PRIVATE",1,"RUNAWAY",27,"MALE","FAIR","FAIR",0,-105.71659,39.06394
"4636",3138,"fa3d75a0-5e77-4204-8681-82c685a5676f","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","60f18219-f5c8-4f33-a353-6360028ae2dc","22P005634 Conundrum Cold Feet ","RESCUE","5/20/2022 6:45:00 PM",1,"YES",18,146,150,"","WILDERNESS","NATIONAL_FOREST",1,"CAMPING",24,"NONBINARY","UNKNOWN","UNKNOWN",1,-106.88495,39.0369
"4666",1192,"3a2bdeef-7d55-48c5-8b56-c239fc07068f","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","c08c630a-71bd-4d59-9d15-08440f26edc0","20211008-A","SEARCH","8/10/2021 8:15:00 AM",1,"YES",5,25,160,"","RURAL","NATIONAL_FOREST",1,"OTHER",30,"MALE","POOR","POOR",1,-105.6215,39.44364
"4698",1727,"4ba6d14c-d44e-4493-89bc-046cbf979d84","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","a1c4f5ba-639d-42d7-b11f-d3246aa30021","20211019 Harris Park Runaway","SEARCH","10/19/2021 4:15:00 PM",1,"YES",12,32,90,"","RURAL","PRIVATE",1,"RUNAWAY",9,"MALE","GOOD","FAIR",1,-105.50995,39.50462
"4780",22526,"04f6fd16-935e-480b-8a12-407b49a192e1","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","267c2745-d7a3-44cc-8518-45a8bb78b9b2","2022131","RESCUE","9/4/2022 10:14:00 PM",1,"YES",14,9,126,"","WILDERNESS","COUNTY",1,"HIKING",66,"FEMALE","","",0,-105.346024,40.01549
"4790",1115,"af80ffdd-83fa-47af-83ad-66ff4d4ef13a","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","56941746-3c19-4129-9cc9-1cabc6927e7f","21P008522 Downed Aircraft N Of Midway Pass","AIRCRAFT_DOWN/ELT_ACTIVATION","7/4/2021 5:15:00 PM",2,"YES",34,219,100,"AIRCRAFT-FIXED_WING,AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",2,"OTHER",58,"MALE","UNKNOWN","UNKNOWN",0,-106.65472,39.1677
"4825",3583,"895f5764-329c-428e-8ab8-5faf2f099624","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","938c5748-ae58-4291-bcab-f1f7b5d10e3a","West Pegmatite","SEARCH","8/15/2022 3:27:00 PM",1,"YES",16,320,148,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",2,"HIKING",57,"MALE","GOOD","GOOD",2,-105.55333,39.55556
"4840",20726,"e5cc0b6a-1b5a-4e96-8488-c054f8ae026e","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","0f35dfa9-537b-4a1b-8790-1215c29614b9","Fort Collins Elderly Walkaway","SEARCH","1/31/2021 4:00:00 AM",1,"YES",12,28,900,"","URBAN","CITY",1,"ALZHEIMERS/DEMENTIA",71,"MALE","UNKNOWN","UNKNOWN",0,-105.05144,40.49486
"4852",4101,"d11abc11-05c8-46eb-9dc8-5fc556d48c9b","","Fremont_SAR","Rocky Mountain Region","D02E914C-22CD-41B3-8ED1-FA1887A56CB7","2018-03","SEARCH","2/7/2018 10:00:00 PM",1,"YES",1,2,0,"","WILDERNESS","CITY",2,"DRIVING",65,"MALE","FAIR","POOR",2,-105.2573,38.5908600000001
"4988",7444,"0aa9909e-c5d9-47ed-95a7-067d4df045c3","2.1.0-MRA","Larimer_County_SAR","Rocky Mountain Region","0a8095ee-6a73-4837-b662-178ab3a11476","2019.07.13 Goodell Corner","SEARCH","7/13/2019 9:54:00 PM",2,"YES",17,105,1176,"","WILDERNESS","NATIONAL_FOREST",1,"CAMPING",49,"FEMALE","","",0,-105.580958727,40.735431937
"4991",20843,"bed0332e-8642-4d56-8148-91339f95ab71","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","911cd227-b1e9-40df-8279-ded2ec1fc6db","Loveland HS Missing 16 yom - Autistic","SEARCH","2/9/2022 2:41:00 AM",1,"YES",4,8,72,"","SUBURBAN","CITY",1,"DIMINISHED_CAPACITY:_OTHER",16,"MALE","UNKNOWN","UNKNOWN",1,-105.09174,40.4201
"5058",22486,"182aa468-000d-40b2-86a3-f71d5edb3b90","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","1c88e92e-0908-46c0-a6c7-f630a22f9c60","2022096","RESCUE","7/19/2022 12:30:00 AM",1,"YES",16,43,192,"","WILDERNESS","CITY",1,"CLIMBING",21,"FEMALE","","",0,-105.289899719896,39.9742469581601
"5121",5151,"e2f6f7c7-0c34-440f-b318-2cf860ac7129","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","72B7766C-9505-4F4F-8244-E3000D796724","00441","RESCUE","3/13/2018 6:00:00 PM",1,"YES",1,1,0,"","WILDERNESS","NATIONAL_FOREST",2,"SNOWMOBILING",48,"FEMALE","GOOD","POOR",0,-106.31004,39.3831200000001
"5178",7636,"1b5b7434-7bc7-4c84-a836-5eb2b0b72ce7","2.1.0-MRA","Fremont_SAR","Rocky Mountain Region","3ec39227-704b-4ead-9fca-0d37a2cfdfc7","2019-33","SEARCH","9/1/2019 3:30:00 AM",1,"YES",11,17,150,"","SUBURBAN","PRIVATE",1,"OTHER",17,"MALE","FAIR","POOR",1,-105.027579058,38.446570551
"5183",3136,"a432d128-319f-466b-850c-d942bcef14dd","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","7aeaf12a-7b6e-41aa-b694-6dc9698ee2b2","22P005414 Conundrum Sickness","RESCUE","5/14/2022 6:15:00 PM",1,"YES",15,72,150,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",2,"CAMPING",33,"FEMALE","UNKNOWN","UNKNOWN",0,-106.89088,39.01198
"5198",20989,"f1215f30-7504-4c83-8a68-c9bcd8bd13ef","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","c35e1184-f9bb-4401-b7b6-3d03dfe67308","2022063","RESCUE","6/15/2022 9:48:00 PM",1,"YES",9,17,90,"","WILDERNESS","CITY",1,"HIKING",51,"FEMALE","","",0,-105.301314939117,40.0343825543237
"5203",7513,"eb08c7fd-59b4-4203-8821-fdedbc892269","2.1.0-MRA","Larimer_County_SAR","Rocky Mountain Region","206907b1-b826-43d2-bb19-e0690761e464","2019.10.22 Crown Point lost hunter","SEARCH","10/22/2019 11:30:00 PM",1,"YES",17,17,0,"","WILDERNESS","NATIONAL_FOREST",1,"HUNTING",57,"MALE","POOR","UNKNOWN",1,-105.697693445,40.649625218
"5258",7358,"6ca18787-49d9-47d3-a2e9-a4a0667096ff","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","A066B8DF-3C0D-4B46-8EA9-A0452C88115C","#01197 Injured Hiker On Meadow Mountain","MEDICAL_AID","10/16/2019 11:25:00 PM",1,"YES",8,16,50,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",40,"FEMALE","GOOD","",1,-106.45142,39.60335
"5271",3623,"f190c284-9588-4b13-8a3a-dabc81e5385c","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","9553c0bc-a65a-4eb1-898d-d76aeabfcf40","2022040","RESCUE","5/9/2022 9:16:00 PM",1,"YES",12,18,360,"","WILDERNESS","CITY",1,"HIKING",28,"FEMALE","","",0,-105.319927039643,39.9915871794125
"5288",5592,"cd42d9a0-79be-48fd-b0bb-e979467d5b98","","Chaffee_County_SAR_North","Rocky Mountain Region","C91D83C2-0DF1-45C2-82EA-7F229716B3A2","017-2018","RESCUE","6/26/2018 3:30:00 AM",2,"YES",16,51,196,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",39,"FEMALE","UNKNOWN","UNKNOWN",1,-106.23417,38.72058
"5391",8329,"1273a977-985e-4b1d-889e-98cfe863d801","2.2.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","37d57a21-3585-4a88-bb10-ec49fd7332ed","20P018723 Bells Traverse Fall","RECOVERY","11/6/2020 8:00:00 PM",1,"YES",26,96,200,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",1,"CLIMBING",43,"MALE","UNKNOWN","UNKNOWN",0,-106.9869,39.0751000000001
"5399",10902,"e3560ea2-1fb6-475f-ad69-8f4d58388ac0","2.2.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","4610ef83-b928-469c-be2b-d1438673310f","21P006914-Lost Man Lake Hikers","RESCUE","6/5/2021 10:45:00 PM",1,"YES",27,165,200,"","WILDERNESS","NATIONAL_FOREST",2,"HIKING",28,"FEMALE","GOOD","GOOD",2,-106.5675,39.1541
"5428",5675,"b07c36e2-8412-4a57-a49d-3bda9cc3579a","","Chaffee_County_SAR_North","Rocky Mountain Region","72695057-A569-4EAF-8982-31540B870E0C","028-2018","RESCUE","7/16/2018 8:16:00 PM",1,"YES",13,38,188,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",1,"HIKING",19,"FEMALE","UNKNOWN","UNKNOWN",0,-106.38747,38.76969
"5474",1015,"b88653cf-df08-467c-a349-7211ea4be09c","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","90dc78e3-d421-4efc-9e37-54e41529b62e","042721 Four Mile Runaway","SEARCH","4/28/2021 2:12:00 AM",1,"YES",1,0,0,"","RURAL","PRIVATE",1,"RUNAWAY",13,"MALE","UNKNOWN","UNKNOWN",1,-105.9828,39.1414
"5542",21175,"76707bd4-af63-4540-82c4-ae379e740be7","3.0.0-MRA","Fremont_SAR","Rocky Mountain Region","e6b12487-a9e6-4900-8422-aca319a80d27","2022-25","SEARCH","6/22/2022 10:00:00 PM",1,"YES",10,10,0,"","OTHER","OTHER",1,"ALZHEIMERS/DEMENTIA",80,"FEMALE","UNKNOWN","UNKNOWN",1,-105.766115825501,38.3714720688251
"5543",8440,"a777de4f-f124-4510-bc6b-a952afa6e5e4","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","23516175-0720-4002-b0fd-452765113011","Kite Lake Injury","RESCUE","10/3/2020 11:16:00 PM",1,"YES",6,18,100,"","WILDERNESS","NATIONAL_FOREST",1,"MOUNTAINEERING",41,"FEMALE","GOOD","FAIR",0,-106.1267,39.3364
"5564",3614,"f697c6ee-8bcd-477f-8ead-4027ac00ac92","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","b8577e0c-5cd2-4ad8-bdb5-b5683e0a06ae","2022031","RESCUE","4/29/2022 9:46:00 PM",1,"YES",12,30,324,"","WILDERNESS","PRIVATE",1,"OTHER",33,"MALE","","",0,-105.408832014263,40.0744889909748
"5609",10793,"b4dc2977-3903-4de2-a3a7-56c6c9856b19","2.2.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","1328482b-1f8b-4eeb-922e-f66b03c96b3e","21P004535 McNamara Skier","RESCUE","4/18/2021 9:15:00 PM",1,"YES",13,66,100,"","WILDERNESS","NATIONAL_FOREST",1,"SNOW_SKIING",54,"FEMALE","UNKNOWN","UNKNOWN",0,-106.7649,39.2291000000001
"5643",23488,"ade80e20-81f7-48b7-84aa-0fb1cf6dbb74","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","6a834c02-941e-43ea-afa6-3fdb45072c32","2023.02.04 Owl Canyon Rescue","RESCUE","2/4/2023 7:18:00 PM",1,"YES",19,9,190,"","RURAL","COUNTY",1,"CLIMBING",15,"MALE","UNKNOWN","UNKNOWN",1,-105.16511,40.7685000000001
"5686",8732,"d114e6d0-578c-485d-8e5f-2ca9d1695b15","2.2.0-MRA","Vail_Mtn_Rescue_Group","Rocky Mountain Region","ad7433b6-243e-4015-89e6-de14e3c4eb6e","01306","SEARCH","1/8/2020 11:45:00 PM",1,"YES",10,40,0,"","WILDERNESS","NATIONAL_FOREST",1,"HUNTING",43,"MALE","UNKNOWN","UNKNOWN",1,-106.320691461,39.433980245
"5746",3763,"cc753556-c03f-44e2-a66d-8a39ec93a08d","","West_State_Colorado_U_Mtn_Resc","Rocky Mountain Region","6BC98F34-6E3C-4C25-81E6-47083FAC91A0","2018-07","SEARCH","5/28/2018 1:03:00 PM",1,"NO",6,45,105,"","RURAL","NATIONAL_FOREST",1,"HIKING",40,"MALE","","",1,-107.16051,38.8637000000001
"5751",6222,"b615ce8e-de96-4012-81f7-7814ac6fa1d2","2.1.0-MRA","Park_County_SAR","Rocky Mountain Region","db44da8a-335c-4f71-8974-c80a20b42bf5","FR144 Packer Gulch","RECOVERY","7/20/2019 8:16:00 PM",1,"YES",3,12,185,"","WILDERNESS","NATIONAL_FOREST",1,"OHV/ATV",82,"MALE","FAIR","FAIR",0,-105.58,39.1700000000001
"5761",22501,"0caa062e-247b-47c5-84ec-397897494a4f","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","62601224-bd7d-42ee-97cd-5a2bd401a3ac","2022111","RESCUE","8/10/2022 7:22:00 PM",1,"YES",13,13,174,"","WILDERNESS","CITY",1,"HIKING",57,"FEMALE","","",0,-105.31562,40.03298
"5780",4115,"8894ba3e-d394-4b54-b75b-aef199f6890f","","Fremont_SAR","Rocky Mountain Region","44D441EB-395D-42AE-851E-7031884997A8","2018-17","RECOVERY","5/18/2018 9:00:00 PM",1,"YES",14,90,350,"","WILDERNESS","STATE",1,"DRIVING",65,"MALE","UNKNOWN","UNKNOWN",0,-105.12088,38.62496
"5834",3617,"010ca37f-f1cd-4ab5-8153-a4e3ef779f3f","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","ac845410-5152-4350-a8e7-b32039de3985","2022034","RESCUE","4/30/2022 10:21:00 PM",1,"YES",15,55,103,"","WILDERNESS","CITY",1,"CLIMBING",34,"MALE","","",1,-105.293476758614,39.9917470587797
"5840",20763,"308bed3d-f8fe-4426-8918-54e24e643c1f","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","94c007b5-154f-4424-bf68-7b31838e96a5","Sunrise Ranch Ops 2 - Recovery","RECOVERY","3/30/2021 1:00:00 PM",1,"YES",22,200,560,"","WILDERNESS","PRIVATE",1,"HIKING",25,"FEMALE","UNKNOWN","UNKNOWN",0,-105.24288,40.44918
"5848",4613,"856e9452-dffc-44e3-9d9c-c72b8f591ba2","","Chaffee_County_SAR_North","Rocky Mountain Region","917281D2-2779-4ECA-B63C-AFF6E2745D7A","010-2018","SEARCH","6/3/2018 3:00:00 AM",1,"YES",15,8,249,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",24,"FEMALE","UNKNOWN","UNKNOWN",1,-106.4154,38.8037
"5907",8432,"2b058980-571e-423a-8f7e-03026db9a1e7","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","db60c8df-fca4-43d1-84a6-3412948123c0","Hwy 24 Runaway Juvi","SEARCH","6/13/2020 4:05:00 AM",1,"YES",8,0,0,"","RURAL","PRIVATE",1,"RUNAWAY",16,"MALE","FAIR","POOR",1,-105.3402,38.96802
"5908",2100,"ab3c915f-5b96-4e91-88eb-f6505743e1a8","3.0.0-MRA","Fremont_SAR","Rocky Mountain Region","e42de099-8264-4a31-9478-146644df203e","09172021_1","SEARCH","9/18/2021 12:30:00 AM",1,"YES",14,38,200,"","SUBURBAN","PRIVATE",2,"CHILD_AGE_0-15",8,"MALE","UNKNOWN","",2,-105.248085631027,38.4657155039333
"5971",4496,"5b8fe653-61c4-45c5-b021-5778bd00b9e6","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","90261E80-AAB1-4D2B-83A6-DBC6C0DF3FBC","00377","SEARCH","2/6/2018 4:30:00 PM",1,"YES",6,33,0,"","WILDERNESS","NATIONAL_FOREST",1,"SNOWBOARDING",24,"MALE","UNKNOWN","UNKNOWN",0,-106.32783,39.6234700000001
"5976",3500,"1ec472bf-6e17-4cde-84ea-04287f308aeb","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","04a72727-5a66-42a5-b8af-3ea196aec0ef","220710 Webster Pass Stranded OHV","RESCUE","7/10/2022 11:00:00 PM",1,"YES",9,49,180,"","WILDERNESS","NATIONAL_FOREST",4,"OHV/ATV",21,"MALE","UNKNOWN","UNKNOWN",4,-105.83271,39.5312
"5981",22472,"4df24715-597f-4421-81db-6ac67cc6a2e8","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","2a58e1c8-a606-41f9-a7d9-469cd795d0a0","2022082","RESCUE","7/4/2022 3:21:00 PM",1,"YES",18,63,126,"","WILDERNESS","CITY",1,"HIKING",25,"FEMALE","","",0,-105.291613388546,39.9823333992441
"5992",20812,"c2e0302d-e146-44d7-8834-33d76a180286","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","889a82ee-3d88-4df7-b3ec-8181fbd915b6","Fort Collins Collinwood Missing Dementia Resident","SEARCH","7/14/2021 4:31:00 AM",1,"YES",11,4,0,"","SUBURBAN","CITY",1,"ALZHEIMERS/DEMENTIA",69,"FEMALE","UNKNOWN","UNKNOWN",1,-105.057045468702,40.5811487309705
"6025",1101,"9a97a9c6-fe6e-4f0b-8b86-615ea9cd0538","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","cd5143d9-3425-47d2-8bd1-f9f959f74c2c","21P007341 Ute Trail Shoulder","RESCUE","6/14/2021 11:00:00 PM",1,"YES",34,78,50,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",56,"MALE","FAIR","FAIR",0,-106.81578,39.17871
"6029",3757,"6e21d1b9-e56d-457e-9364-d23a00ef5fe0","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","B65960A3-87C6-4402-8EB8-671EE04FD7B2","Resolution Bowl overdue snowmobiler","SEARCH","12/29/2018 1:00:00 AM",1,"YES",3,3,0,"","WILDERNESS","NATIONAL_FOREST",1,"SNOWMOBILING",50,"MALE","UNKNOWN","UNKNOWN",1,-106.19389,39.50361
"6030",9474,"5fbe2b89-3f77-4e11-95da-399c79c6233e","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","aae30482-a12d-4946-a0a2-a1839b7be21e","SOS Activation","PLB_ACTIVATION","9/27/2020 5:30:00 PM",1,"YES",7,14,120,"","WILDERNESS","NATIONAL_FOREST",1,"HUNTING",71,"MALE","GOOD","GOOD",1,-105.58865,39.2880000000001
"6037",9425,"99279391-f35a-4f2e-af4d-5a57264236bd","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","36d9151c-eb4c-4dcc-9e5a-9fd91d419456","Mt. Silverthorne Recovery","RECOVERY","10/9/2020 1:00:00 PM",1,"NO",3,57,150,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",1,"HIKING",71,"MALE","GOOD","GOOD",0,-106.1894,39.6539000000001
"6055",23491,"389fc6b6-ae7c-4d38-8022-3d8dbae13689","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","0cb3105e-ef18-414c-a332-9f967adb444f","2023.05.21 Greyrock Search for 2 Hikers","SEARCH","5/21/2023 2:30:00 PM",1,"YES",13,1,30,"","WILDERNESS","NATIONAL_FOREST",2,"HIKING",74,"UNKNOWN","UNKNOWN","UNKNOWN",2,-105.28387,40.69498
"6104",7367,"9d0810dc-6775-4040-898b-3d8e22bc05ec","","West_State_Colorado_U_Mtn_Resc","Rocky Mountain Region","0945917D-30D0-4DD1-8597-80B83985D4D9","19-06","SEARCH","4/29/2019 3:40:00 PM",1,"YES",21,260,540,"","RURAL","NATIONAL_PARK/MONUMENT",1,"DRIVING",44,"MALE","","",0,-107.46628,38.4635700000001
"6105",22515,"e1aa5f32-350b-4fdb-8c8d-0d30e58b6338","3.0.0-MRA","West_State_Colorado_U_Mtn_Resc","Rocky Mountain Region","73d2d3f6-fb71-4202-9972-2cb64448e126","22-02","SEARCH","3/25/2022 3:53:00 AM",1,"NO",10,60,86,"","WILDERNESS","BLM",1,"RUNAWAY",66,"MALE","UNKNOWN","UNKNOWN",1,-106.99854,38.41623
"6109",2624,"34537ba3-10b7-4a52-8a46-3b0ad4c1b7fd","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","9dc54940-5e91-4902-be8a-b94ebb927576","Slaughterhouse Gulch Rollover","RESCUE","7/18/2021 1:10:00 AM",1,"YES",8,14,184,"AIRCRAFT-HELICOPTER","RURAL","NATIONAL_FOREST",1,"FOUR_WHEEL_DRIVING",44,"MALE","FAIR","FAIR",0,-105.55898,39.45941
"6116",6205,"5a5876af-2c7e-47c7-8046-38dddbe39fdc","2.1.0-MRA","Vail_Mtn_Rescue_Group","Rocky Mountain Region","f6c4c7e1-6acb-475c-ac9e-c5ad7ea965df","#01291","RESCUE","12/28/2019 12:45:00 AM",1,"YES",11,55,90,"","WILDERNESS","NATIONAL_FOREST",3,"SNOWMOBILING",40,"MALE","GOOD","FAIR",3,-106.226386586,39.5367138020001
"6192",3139,"f3a5b9c0-6cff-4b44-8a70-9eefe849a184","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","dab7f55a-112e-48d2-9cf9-6099379d2bb2","22P005658 Cathedral Skier","RESCUE","5/21/2022 6:45:00 PM",1,"YES",18,53,150,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",1,"SNOW_SKIING",50,"MALE","GOOD","GOOD",0,-106.8227,39.03431
"6197",9139,"137b89cf-cc2b-4c96-a4d8-0e87e2007f53","2.2.0-MRA","Douglas_County_SAR_CO","Rocky Mountain Region","4bcfaa78-c3ff-43c4-ba49-27b2c3d642fd","2020-089","SEARCH","9/20/2020 5:27:00 PM",1,"YES",16,81,165,"","SUBURBAN","CITY",1,"RUNAWAY",11,"","","",1,-104.892244,39.4398390000001
"6204",4141,"6972329a-93b9-4683-9eba-6b41ff4a412c","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","FD50AF14-6D80-42EF-A351-3217472A307B","Over due Vail mtn","SEARCH","2/11/2018 12:30:00 AM",1,"YES",1,1,0,"","OTHER","NATIONAL_FOREST",1,"SNOW_SKIING",0,"MALE","UNKNOWN","UNKNOWN",1,-106.512245281,39.603062525
"6206",22664,"46f73abc-e4e0-4318-8c52-2e5c21c66292","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","187aad62-3500-456f-acdb-6a30589866d6","2023010","RESCUE","3/13/2023 1:43:00 AM",1,"YES",14,37,98,"","WILDERNESS","CITY",1,"HIKING",13,"","","",0,-105.299497574307,39.9903112441865
"6207",4633,"3ec94f20-1fdb-42ae-8fef-4ce36c1fc63f","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","F9542D57-B5A2-4435-B08C-44A19DB01566","692","RESCUE","10/16/2018 3:30:00 PM",1,"YES",6,32,50,"","WILDERNESS","NATIONAL_FOREST",1,"HUNTING",30,"MALE","GOOD","FAIR",1,-106.54127,39.86136
"6258",5323,"339e9b27-9811-467e-ab04-a085f52e7580","","Fremont_SAR","Rocky Mountain Region","4A763A3E-7372-45E1-89D6-BD21BBAA48C2","2018-29","SEARCH","8/18/2018 8:00:00 PM",1,"YES",2,2,0,"","WILDERNESS","CITY",1,"RUNAWAY",17,"FEMALE","UNKNOWN","UNKNOWN",1,-105.29262,38.4649600000001
"6262",2741,"75617f4c-9e94-4b7d-80b4-6f486142a7b0","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","f95eb2a9-d2e8-45ee-8111-c4b23541daac","Kenosha Mushroomer","SEARCH","7/31/2021 10:32:00 PM",1,"YES",12,8,20,"","RURAL","NATIONAL_FOREST",1,"GATHERING",60,"FEMALE","UNKNOWN","UNKNOWN",1,-105.7549,39.4136
"6279",22635,"48f199c1-509a-4085-8957-e1420ca5a9ca","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","f16f4989-3055-4a8b-846d-d2cdf54ef162","2022160","RESCUE","10/22/2022 10:26:00 PM",1,"YES",9,4,180,"","WILDERNESS","COUNTY",1,"BIKING",38,"MALE","","",0,-105.333119,40.22339
"6280",6577,"43c379f3-2943-44b0-86da-b7bb9c47b38a","2.1.0-MRA","Larimer_County_SAR","Rocky Mountain Region","16f2259e-d197-4b5b-bebd-15fc6076bd75","2019.03.04 Assist to ROMO for Pruitt search (Op2)","SEARCH","3/3/2019 8:45:00 PM",1,"NO",8,84,720,"","WILDERNESS","NATIONAL_PARK/MONUMENT",1,"HIKING",70,"MALE","","",0,-105.559316307,40.363954081
"6340",1218,"d67f3c2c-5639-42bd-86e5-beeda613ea0d","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","076e2050-52b9-45f8-b115-24a46235d4fb","21P010215 Capitol Overdue","RECOVERY","8/2/2021 3:15:00 AM",8,"YES",41,593,300,"AIRCRAFT-FIXED_WING,AIRCRAFT-HELICOPTER,AIRCRAFT-UAV","WILDERNESS","NATIONAL_FOREST",1,"CLIMBING",32,"MALE","GOOD","FAIR",0,-107.07986,39.15132
"6420",8449,"4cfc15ed-f9a2-4bf7-ae60-b94fb0860cb3","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","9d516130-8f06-4b16-b229-2d84e29ced6d","Slaughterhouse Gulch Stranded Subjects","RESCUE","12/12/2020 6:57:00 AM",1,"YES",6,30,134,"","WILDERNESS","NATIONAL_FOREST",5,"FOUR_WHEEL_DRIVING",19,"MALE","GOOD","FAIR",4,-105.5609,39.4643
"6438",9053,"737b3d24-e491-41a3-9882-0f18b419033d","2.2.0-MRA","Douglas_County_SAR_CO","Rocky Mountain Region","5c616fe9-cc06-4147-9043-ce317ccb64f8","2020-005","SEARCH","2/1/2020 12:30:00 PM",1,"NO",7,84,210,"","SUBURBAN","COUNTY",0,"CHILD_AGE_0-15",11,"","","",0,-104.6532,38.7227
"6488",8057,"b7503e64-5a4f-4823-919e-5debc2561fec","2.2.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","a9a53d24-2f2d-41ff-a3d8-2a7b5ad5ab2f","20P014245 Ute Trail Ankle Injury","RESCUE","8/11/2020 6:45:00 PM",1,"YES",12,26,30,"","RURAL","NATIONAL_FOREST",1,"HIKING",57,"FEMALE","FAIR","FAIR",0,-106.81302,39.1791900000001
